#{"t_start": 1672841643.1367772, "env_id": null}
r,l,t
28,39,0.737945
24,39,1.41286
52,67,2.54093
31,42,3.254366
28,39,3.920974
24,39,4.58839
24,39,5.267707
52,67,6.400753
31,42,7.129764
28,39,7.80317
24,39,8.470073
27,38,9.121732
54,69,10.286425
28,39,10.954547
3,22,11.345752
24,39,12.01914
52,67,13.144349
92,105,14.891012
24,39,15.561633
24,39,16.232272
54,69,17.391289
24,39,18.061021
53,68,19.204276
52,67,20.331107
24,39,20.998115
24,39,21.667275
24,39,22.33591
52,67,23.451905
54,69,24.608154
24,39,25.275805
24,39,25.944669
28,39,26.618372
36,47,27.419262
24,39,28.083768
24,39,28.750188
24,39,29.412544
53,68,30.554906
52,67,31.674095
54,69,32.834972
37,48,33.646751
24,39,34.313742
28,39,34.985348
52,67,36.107096
31,42,36.830207
52,67,37.958668
28,39,38.622669
28,39,39.290959
24,39,39.956254
24,39,40.630357
30,41,41.337611
28,39,42.01022
30,41,42.708293
30,41,43.403008
24,39,44.063779
53,68,45.203955
17,28,45.692056
34,45,46.462864
24,39,47.12936
54,69,48.285857
52,67,49.408773
24,39,50.076777
24,39,50.743696
33,44,51.492199
52,67,52.620727
52,67,53.749022
40,51,54.619174
54,69,55.772941
24,39,56.436408
24,39,57.099147
24,39,57.769701
24,39,58.435034
30,41,59.130349
28,39,59.806765
24,39,60.473319
1,12,60.702984
95,108,62.500474
32,43,63.234883
30,41,63.935712
24,39,64.606379
24,39,65.274796
32,43,66.005109
52,67,67.135651
24,39,67.802323
54,69,68.96572
24,39,69.635758
24,39,70.301061
32,43,71.034733
45,56,71.984802
39,50,72.82292
53,68,73.962611
53,68,75.102727
53,68,76.250685
24,39,76.917581
53,68,78.061216
52,67,79.190054
32,43,79.924689
29,40,80.611726
28,39,81.284728
24,39,81.949798
34,45,82.717473
24,39,83.383435
54,69,84.55123
24,39,85.215294
24,39,85.885632
53,68,87.03009
24,39,87.698674
54,69,88.852416
24,39,89.52154
24,39,90.18562
24,39,90.851842
52,67,91.979108
24,39,92.651621
31,42,93.368258
54,69,94.516464
34,45,95.284149
24,39,95.958799
24,39,96.628658
29,40,97.313963
52,67,98.440692
24,39,99.109247
24,39,99.780926
52,67,100.907022
29,40,101.588531
29,40,102.270046
54,69,103.429829
24,39,104.091308
52,67,105.213837
52,67,106.337919
31,42,107.054686
24,39,107.725722
24,39,108.393546
28,39,109.069211
24,39,109.738755
52,67,110.857218
29,40,111.547556
24,39,112.215674
24,39,112.884619
54,69,114.046139
52,67,115.185364
52,67,116.312635
31,42,117.033517
28,39,117.700581
30,41,118.403394
24,39,119.074327
54,69,120.235427
52,67,121.360223
52,67,122.491777
31,42,123.210743
24,39,123.876641
31,42,124.590875
52,67,125.717217
32,43,126.450432
54,69,127.613977
24,39,128.283806
53,68,129.432353
24,39,130.103889
29,40,130.787656
36,47,131.585653
24,39,132.249087
24,39,132.916623
24,39,133.592783
53,68,134.741486
28,39,135.408883
28,39,136.078908
54,69,137.24944
52,67,138.370898
